turn,nodes_added_to_graph,nodes_added_to_graph_std,edges_added_to_graph,edges_added_to_graph_std,total_nodes_in_graph,total_nodes_in_graph_std,total_edges_in_graph,total_edges_in_graph_std,native_node_precision,native_node_precision_std,native_node_recall,native_node_recall_std,native_edge_precision,native_edge_precision_std,native_edge_recall,native_edge_recall_std,native_degree_weighted_node_coverage,native_degree_weighted_node_coverage_std,evaluation_node_precision,evaluation_node_precision_std,evaluation_node_recall,evaluation_node_recall_std,evaluation_edge_pair_precision,evaluation_edge_pair_precision_std,evaluation_edge_pair_recall,evaluation_edge_pair_recall_std,evaluation_node_tsc_rank,evaluation_node_tsc_rank_std,evaluation_edge_tsc_rank,evaluation_edge_tsc_rank_std,evaluation_node_autc_rank,evaluation_node_autc_rank_std
13,19.333333333333332,16.289055630494154,24.333333333333332,31.817186131607134,284.0,78.92401408950256,374.3333333333333,76.00219295081776,0.9446320849885281,0.08048289854305211,0.22722127900396152,0.06651976150546875,0.9054278416347382,0.14498515791763714,0.1121689647625301,0.03466993055984874,0.4940102349383577,0.0809201642292138,0.9446320849885281,0.08048289854305207,0.2272212790039615,0.06651976150546876,0.9054278416347382,0.14498515791763714,0.11216896476253009,0.03466993055984874,0.28521758536481706,0.08459884716688289,0.11546868954296116,0.03411851204644049,0.36611230117033433,0.08911267063943124
14,9.333333333333334,13.650396819628847,1.6666666666666667,2.886751345948129,293.3333333333333,65.57692683660414,376.0,75.18643494673756,0.9321723795122275,0.07284860458078982,0.232597623089983,0.06007404418660147,0.9066624698352743,0.14285310203585122,0.11271613044429854,0.03401874742989442,0.5017445917655269,0.07151038872560198,0.9321723795122275,0.07284860458078976,0.232597623089983,0.060074044186601464,0.9066624698352743,0.14285310203585122,0.11271613044429854,0.03401874742989442,0.29293791838117067,0.07541789097854859,0.11605741996181186,0.03342420704430832,0.37474773756277346,0.07881142656994455
15,12.0,2.6457513110645907,25.0,16.522711641858304,305.3333333333333,62.96295206971583,401.0,88.45903006477066,0.9336227207533792,0.07008402365592335,0.24250141482739104,0.05847124038312364,0.9141472836935527,0.130273069789113,0.12092361567082512,0.03643137423069477,0.508897418004187,0.06879334809439502,0.9336227207533792,0.07008402365592335,0.24250141482739104,0.05847124038312364,0.9141472836935527,0.13027306978911296,0.12092361567082512,0.03643137423069477,0.3030040002646425,0.07309263897734172,0.12436211544935825,0.03559728953800826,0.38382620085995245,0.0757424919706363
16,18.666666666666668,26.27419519858474,11.666666666666666,5.507570547286102,324.0,39.585350825778974,412.6666666666667,90.88637595004728,0.890586224256689,0.09509807335301454,0.2470288624787776,0.056685691085896585,0.9175956068527835,0.12465020969990659,0.1247537754432042,0.03641608568315707,0.5147708769481275,0.06315767565952723,0.890586224256689,0.09509807335301448,0.2470288624787776,0.056685691085896585,0.9175956068527835,0.12465020969990659,0.1247537754432042,0.03641608568315705,0.3077191974191321,0.06979667179560099,0.1282259227165289,0.035622367053945746,0.38921174191587626,0.07106424327098401
17,14.0,13.45362404707371,20.0,5.291502622129181,338.0,52.848841046895245,432.6666666666667,86.09490886999842,0.8747788981621106,0.06612701728176888,0.2529711375212224,0.058929556508687954,0.9134216611826242,0.13315443494853765,0.1302254322608886,0.03645355587410887,0.5229123051872528,0.06382830042151452,0.8747788981621106,0.06612701728176884,0.2529711375212224,0.058929556508687954,0.9134216611826242,0.13315443494853765,0.1302254322608886,0.03645355587410888,0.31487123808733725,0.07154605102567539,0.13410071263189677,0.03558641465121713,0.39791664775517416,0.07259225590959395
18,9.666666666666666,7.371114795831994,17.333333333333332,12.42309676905615,347.6666666666667,46.26373669877233,450.0,75.07995737878386,0.8784152469586657,0.06283528006950324,0.26089417091114886,0.05382521099321571,0.9183249872131888,0.1257284528159202,0.13591595535128037,0.03238869595811397,0.5319841823679925,0.05518602727089966,0.8784152469586657,0.06283528006950329,0.26089417091114886,0.053825210993215675,0.9183249872131889,0.12572845281592013,0.13591595535128037,0.03238869595811397,0.32362348336053726,0.06435865022446956,0.13989950122990846,0.03141641453886283,0.4080873854998448,0.06292466518912762
19,3.6666666666666665,1.1547005383792515,12.666666666666666,2.0816659994661326,351.3333333333333,46.068789145508624,462.6666666666667,74.51398079107929,0.8797755290447195,0.06208802438518943,0.2640067911714771,0.05362849056735852,0.9144644759074104,0.13287284747019593,0.13908951630553731,0.032902633463295694,0.5342521516631775,0.05479916123405753,0.8797755290447195,0.06208802438518943,0.2640067911714771,0.05362849056735852,0.9144644759074104,0.13287284747019593,0.13908951630553731,0.032902633463295694,0.32689622517609057,0.06360652765965218,0.14323618289437193,0.03193569609952545,0.41119804580098984,0.06249717587415376
20,7.333333333333333,9.291573243177568,16.333333333333332,14.571661996262929,358.6666666666667,38.591881702416806,479.0,85.44003745317531,0.8803442431154533,0.06185149505130488,0.2693831352574986,0.04839702436904035,0.9154409378462112,0.12163534322480164,0.1437951411687459,0.03270000550827536,0.5439637124912771,0.04560397579917615,0.8803442431154533,0.061851495051304925,0.2693831352574986,0.04839702436904035,0.9154409378462112,0.12163534322480171,0.1437951411687459,0.03270000550827536,0.3332456948521886,0.0579918256962394,0.14813297727682662,0.03169494466346012,0.4195912158694527,0.054661593854700735
21,8.333333333333334,10.408329997330663,9.666666666666666,11.239810200058244,367.0,34.655446902326915,488.6666666666667,96.20984010657816,0.8734897444783831,0.06946144651347143,0.2733446519524618,0.04701231068251403,0.9166346418215242,0.11992686608712536,0.14696870212300284,0.036208810433904816,0.5487904163759013,0.04204622996343978,0.8734897444783831,0.06946144651347141,0.2733446519524618,0.04701231068251403,0.9166346418215242,0.11992686608712529,0.14696870212300284,0.036208810433904816,0.3377135293077882,0.05427267153406808,0.15154393064365954,0.035490183015493275,0.42457394760092426,0.05055301652085128
22,11.0,8.18535277187245,17.333333333333332,19.857828011475306,378.0,27.073972741361768,506.0,92.9569792968769,0.8783388183078873,0.0648777915651858,0.2826825127334465,0.04014122382864817,0.9222175218886293,0.11075637781342525,0.15265922521339462,0.03166004846025264,0.5543149569667365,0.03844295474233933,0.8783388183078873,0.06487779156518586,0.2826825127334465,0.04014122382864817,0.9222175218886293,0.11075637781342519,0.15265922521339462,0.03166004846025264,0.3462327302818344,0.04788289865229578,0.15721686431587528,0.031093321663155368,0.43157391208336054,0.045439553241273585
