turn,mode,novelty,nodes_added_to_graph,edges_added_to_graph,total_nodes_in_graph,total_edges_in_graph,native_node_precision,native_node_recall,native_edge_precision,native_edge_recall,native_degree_weighted_node_coverage,evaluation_node_precision,evaluation_node_recall,evaluation_edge_pair_precision,evaluation_edge_pair_recall,evaluation_node_tsc_rank,evaluation_edge_tsc_rank,evaluation_node_autc_rank
33,exploit,0.8163265306122449,18.0,27.0,491.0,753.0,0.8615071283095723,0.3590831918505943,0.8472775564409031,0.20945502298095864,0.6161898115840894,0.8615071283095723,0.35908319185059423,0.8472775564409031,0.20945502298095864,0.4298571221201488,0.21605968880970583,0.5062830878421678
34,explore,0.6,12.0,0.0,503.0,753.0,0.8648111332007953,0.3692699490662139,0.8472775564409031,0.20945502298095864,0.6238660153524075,0.8648111332007953,0.3692699490662139,0.8472775564409031,0.20945502298095864,0.44115582072573406,0.21605968880970583,0.5169056887137021
35,explore,0.17948717948717943,5.0,17.0,508.0,770.0,0.8661417322834646,0.3735144312393889,0.8506493506493507,0.21503611293499675,0.6263084438241452,0.8661417322834646,0.3735144312393888,0.8506493506493507,0.21503611293499672,0.44540320119918936,0.22157497316298802,0.5205534839773494
36,explore,0.14925373134328357,1.0,9.0,509.0,779.0,0.8664047151277013,0.37436332767402375,0.8523748395378691,0.2179908076165463,0.6264829030006979,0.8664047151277013,0.37436332767402375,0.8523748395378691,0.2179908076165463,0.44565352632561095,0.22460052761396396,0.5205813071340719
37,exploit,0.40322580645161293,7.0,23.0,516.0,802.0,0.8682170542635659,0.38030560271646857,0.8566084788029926,0.22554169402495072,0.6311933007676204,0.8682170542635659,0.38030560271646857,0.8566084788029925,0.22554169402495075,0.45222715301826805,0.2326934470076995,0.5264067537246445
38,exploit,0.7142857142857143,11.0,58.0,527.0,860.0,0.8709677419354839,0.3896434634974533,0.8662790697674418,0.24458305975049244,0.6418353105373342,0.8709677419354839,0.3896434634974533,0.8662790697674418,0.24458305975049244,0.4648174700276382,0.2517296404222007,0.5386927979608903
39,exploit,0.4,9.0,15.0,536.0,875.0,0.8731343283582089,0.3972835314091681,0.8685714285714287,0.24950755088640839,0.6446266573621773,0.8731343283582089,0.39728353140916806,0.8685714285714285,0.2495075508864084,0.4701113280266367,0.2570161577579791,0.5426748507719341
40,explore,0.6111111111111112,10.0,16.0,546.0,891.0,0.8754578754578755,0.4057724957555178,0.8709315375982043,0.25476034143138543,0.6547452896022331,0.8754578754578755,0.4057724957555178,0.8709315375982043,0.25476034143138543,0.480922707303271,0.26211206134801884,0.5538560435340404
41,exploit,0.19791666666666663,7.0,12.0,553.0,903.0,0.8770343580470162,0.4117147707979626,0.8726467331118494,0.2586999343401182,0.6566643405443127,0.8770343580470162,0.41171477079796265,0.8726467331118494,0.2586999343401182,0.4851930465900963,0.26591426379904604,0.5572271612541032
42,exploit,0.25301204819277107,7.0,14.0,560.0,917.0,0.8785714285714286,0.41765704584040747,0.8745910577971646,0.26329612606697306,0.6596301465457083,0.8785714285714286,0.41765704584040747,0.8745910577971646,0.26329612606697306,0.49088609169898045,0.2707884205735869,0.5623842886765044
43,exploit,0.06451612903225805,0.0,7.0,560.0,924.0,0.8785714285714286,0.41765704584040747,0.8733766233766234,0.2649376231122784,0.6596301465457083,0.8785714285714286,0.41765704584040747,0.8733766233766234,0.2649376231122784,0.49088609169898045,0.2723157723488891,0.5623842886765044
44,exploit,0.39393939393939387,14.0,19.0,574.0,943.0,0.8815331010452961,0.4295415959252971,0.8759278897136799,0.2711753118844386,0.6667829727843685,0.8815331010452961,0.4295415959252971,0.8759278897136797,0.2711753118844386,0.5023025467989478,0.2784850037802259,0.5724195806520448
45,exploit,0.38095238095238093,8.0,0.0,582.0,943.0,0.8831615120274914,0.4363327674023769,0.8759278897136799,0.2711753118844386,0.6741102581995813,0.8831615120274914,0.4363327674023769,0.8759278897136797,0.2711753118844386,0.5107417622296402,0.2784850037802259,0.5809583779451072
46,exploit,0.34523809523809523,9.0,26.0,591.0,969.0,0.8849407783417935,0.4439728353140917,0.8792569659442725,0.27971109652002624,0.6812630844382415,0.8849407783417935,0.4439728353140917,0.8792569659442725,0.27971109652002624,0.519377979091185,0.28752488737917214,0.5900296907036063
47,explore,0.040000000000000036,1.0,0.0,592.0,969.0,0.8851351351351352,0.44482173174872663,0.8792569659442725,0.27971109652002624,0.6814375436147941,0.8851351351351351,0.44482173174872663,0.8792569659442725,0.27971109652002624,0.5196283042176066,0.28752488737917214,0.5901552230287189
48,exploit,0.23255813953488372,7.0,17.0,599.0,986.0,0.8864774624373957,0.4507640067911714,0.8813387423935092,0.28529218647406435,0.6873691556175855,0.8864774624373957,0.45076400679117146,0.8813387423935092,0.28529218647406435,0.5265648282828866,0.2930922127951421,0.5977498905696301
49,exploit,0.05617977528089891,1.0,4.0,600.0,990.0,0.8866666666666667,0.4516129032258064,0.8818181818181818,0.2866053841103086,0.6877180739706908,0.8866666666666667,0.45161290322580644,0.8818181818181818,0.2866053841103086,0.5272024908090671,0.2943386038771658,0.5981374984309443
50,exploit,0.21052631578947367,5.0,12.0,605.0,1002.0,0.8876033057851239,0.45585738539898135,0.8832335329341318,0.29054497701904136,0.689811584089323,0.8876033057851239,0.45585738539898135,0.8832335329341318,0.29054497701904136,0.53130397172659,0.298115472555741,0.6017036859855165
51,exploit,0.46153846153846156,6.0,12.0,611.0,1014.0,0.8887070376432079,0.4609507640067912,0.8846153846153846,0.2944845699277741,0.6945219818562456,0.8887070376432079,0.4609507640067912,0.8846153846153846,0.2944845699277741,0.5362090111120642,0.30187753776487125,0.6075193183036535
52,exploit,0.01612903225806453,1.0,0.0,612.0,1014.0,0.8888888888888888,0.4617996604414261,0.8846153846153846,0.2944845699277741,0.6946964410327984,0.8888888888888888,0.4617996604414261,0.8846153846153846,0.2944845699277741,0.5364593362384857,0.30187753776487125,0.6075985357050969
53,exploit,0.08333333333333334,5.0,2.0,617.0,1016.0,0.8897893030794165,0.466044142614601,0.8848425196850394,0.29514116874589624,0.6966154919748778,0.8897893030794165,0.46604414261460103,0.8848425196850394,0.29514116874589624,0.539555813615908,0.30243427030646824,0.6100600265522278
54,exploit,0.36363636363636365,4.0,12.0,621.0,1028.0,0.8904991948470209,0.4694397283531409,0.8861867704280155,0.29908076165462905,0.7011514305652478,0.8904991948470209,0.4694397283531409,0.8861867704280155,0.29908076165462905,0.5436869188087472,0.30651575470681636,0.6149840443817322
55,exploit,0.12244897959183676,4.0,4.0,625.0,1032.0,0.8912,0.47283531409168084,0.8866279069767442,0.30039395929087326,0.702721563154222,0.8912,0.47283531409168084,0.8866279069767442,0.30039395929087326,0.5465589923006495,0.30762265742726674,0.6173030616611676
