turn,evaluation_node_recall,evaluation_node_recall_std,evaluation_edge_pair_recall,evaluation_edge_pair_recall_std,evaluation_node_tsc_rank,evaluation_node_tsc_rank_std,evaluation_node_tsc_raw,evaluation_node_tsc_raw_std,evaluation_edge_tsc_rank,evaluation_edge_tsc_rank_std,evaluation_edge_tsc_raw,evaluation_edge_tsc_raw_std,evaluation_node_autc_rank,evaluation_node_autc_rank_std
28,0.38115449915110355,0.04453268946894398,0.21033048807178814,0.03037139217854655,0.45993687066929956,0.05691965122703731,0.587731801319632,0.0420184970235948,0.21400353268773858,0.03168280216623914,0.2250788892479244,0.052347027070140474,0.546000144545603,0.05182471109477667
29,0.38539898132427847,0.04254656735531977,0.21230028452615451,0.02933889936117045,0.4650196557066706,0.05431601281817682,0.5916445553276645,0.04044221569486366,0.21593703875873807,0.030688272736912756,0.22641687143260547,0.05152916252926881,0.5508043875562132,0.04996185522143904
30,0.39275608375778154,0.04626550468644445,0.22105493543444954,0.028167502586868353,0.47172461668656257,0.05505678115477103,0.5968662258680486,0.040587771147949245,0.22494879067863616,0.029505334673064456,0.23377350827665944,0.0502335313637057,0.5566036288722563,0.04928419783604586
31,0.3984153933220147,0.04480961833191615,0.22652659225213395,0.026331577417630418,0.47891739073332745,0.05008805637409098,0.6031319749256858,0.035900966482667655,0.2306510769345966,0.027460962767069195,0.23820845654122683,0.04674347927676493,0.5642240152660702,0.04338430225078877
32,0.40492359932088284,0.045207222260422245,0.23363974611512364,0.02600896686380016,0.48581836566822806,0.05038499309643607,0.6093012881839909,0.03702578209831885,0.23827242188931477,0.02709435819373874,0.24898683596415797,0.045539076714511365,0.5713667237146225,0.044404320384275095
33,0.41228070175438597,0.048389578863849925,0.2396585686145765,0.027296274658930808,0.4933705809221625,0.0556074792036406,0.6147621708081015,0.04066106200985275,0.24408774357175808,0.028800216061153898,0.25332101041584,0.046285519820241955,0.5780619983895203,0.04921726093161062
34,0.4250141482739106,0.04286997035294409,0.2495075508864084,0.022832745961116323,0.5036627947738811,0.05151370547007658,0.622286371318615,0.037613681979536115,0.25392202915988366,0.024573176745546564,0.26006996043436603,0.043365187958602856,0.5862397352511511,0.04576144993862912
35,0.4295415959252971,0.042078213009825914,0.25465090829503173,0.026477165856185206,0.5090198512268875,0.05228839799018977,0.6260262600921774,0.03823576019676991,0.2591682057696491,0.028337155550340422,0.26505540751363477,0.047306871820073614,0.5908531769711364,0.046986531761215644
36,0.4343520090548953,0.04270154394079431,0.2611074633398993,0.028632401662605028,0.5126048822780654,0.05358074067559822,0.6288802514007577,0.03937972552022555,0.26582412033562214,0.030631865495471693,0.27036644172380964,0.050133089767139954,0.5939795399613708,0.04850185265959457
37,0.43916242218449353,0.03581833311832934,0.2657036550667542,0.024579374289982855,0.5179861318892468,0.04508262344388792,0.6329300497940976,0.03300637750341907,0.2706637356814582,0.026243565638748058,0.2764332724602818,0.04256198406608601,0.5986355547013733,0.04094886726028915
38,0.4431239388794567,0.03835095754864691,0.2712847450207923,0.029095429013201175,0.5222495588451649,0.048278675491671454,0.6366525003951182,0.03609257630038424,0.27645046784559213,0.030891346162479166,0.2819297766137784,0.04761867586752377,0.6028435084878795,0.044311762578593324
39,0.4485002829654782,0.041242157779176294,0.2778507332020136,0.03433254282156982,0.5280549293312893,0.051487778352390365,0.6413131541861891,0.03931019105187855,0.28299990934782576,0.036083399185269156,0.28755988907260166,0.05044335129581459,0.608019539969393,0.047721030457394814
40,0.4527447651386531,0.03617866074107918,0.2826657912015758,0.028626127167830112,0.5324141414440631,0.04685067478961537,0.6449167330753823,0.03594946558424451,0.2881155000260963,0.029956038746956508,0.2933708236400038,0.042872403943325595,0.6122697515017687,0.043847814260497574
