"turn","mode","anchor","batch_htsn_combined","batch_new_nodes","batch_new_edges","raw_batch_reward","effective_fewa_reward","evaluation_node_precision","evaluation_node_recall","evaluation_edge_pair_precision","evaluation_edge_pair_recall","evaluation_node_tsc_rank","evaluation_edge_tsc_rank"
17,"explore",,0.18141592920353986,17,28,0.04003906250000001,,0.9287598944591029,0.298811544991511,1.0,0.15889691398555483,0.377625821703335,0.16061031804872553
18,"exploit","TEST RESULTS",0.1567739771965124,5,9,0.012860365316901408,0.012860365316901408,0.9296875,0.3030560271646859,0.9979716024340771,0.16152330925804334,0.38182432212251843,0.16330500732695416
19,"exploit","BLOOD TRANSFUSION",0.24716442268461855,19,31,0.04151589912280702,0.04151589912280702,0.9330024813895782,0.31918505942275044,0.9980916030534351,0.1717005909389363,0.39526781826099416,0.1737090993111349
20,"exploit","MRI SCAN",0.3387153387153386,21,32,0.04895495129870128,0.04895495129870128,0.9363207547169812,0.3370118845500849,0.9982014388489209,0.18220617202889033,0.4155352662185483,0.18419346577910947
21,"exploit","HIGH WEIGHT",0.14816198711789616,16,22,0.02517596265479876,0.02517596265479876,0.9363636363636364,0.34974533106960953,0.9982698961937716,0.18942875902823375,0.4265110602231874,0.19087135662961896
22,"exploit","SQUAMOUS CELL CARCINOMA",0.2319673901306555,74,51,0.07339593203352772,0.07339593203352772,0.8443579766536965,0.3684210526315789,0.9984101748807631,0.206172028890348,0.4494409899247819,0.20704254456073168
23,"explore",,0.3847491306507702,19,56,0.09919313524590169,,0.849906191369606,0.3845500848896435,0.9985401459854014,0.22455679579776758,0.45954212720071114,0.22608560556415053
24,"exploit","CERVICAL CANCER",0.3361107188250247,19,27,0.04792203608247422,0.04792203608247422,0.855072463768116,0.400679117147708,0.9985955056179775,0.23342087984241627,0.4813011574204344,0.23552854032602383
25,"exploit","MICROSATELLITE INSTABILITY (MSI)",0.1128866792929293,1,10,0.014110834911616162,0.014110834911616162,0.8553345388788427,0.40152801358234297,0.9986149584487535,0.23670387393302691,0.4819388199466148,0.23859240066185197
26,"exploit","SURVIVORSHIP CARE FOR HEALTHY LIVING",0.42143522067681555,31,39,0.07572664121536529,0.07572664121536529,0.863013698630137,0.42784380305602715,0.9986859395532195,0.2495075508864084,0.5116179001721145,0.2520054122705189
27,"explore",,0.09214485278315065,13,12,0.019796745715130022,,0.8509212730318257,0.4312393887945671,0.9987063389391979,0.25344714379514116,0.5149232286905155,0.25607682420712113
28,"exploit","HEART TESTS",0.0,4,0,0.0,0.0,0.8519134775374376,0.43463497453310695,0.9987063389391979,0.25344714379514116,0.5182833621182515,0.25607682420712113
